explanations,datasets,attributed_fns,methods,reversed,Value
attention,any,logit,baseline,original,"[91.00981    2.8144693  3.1295357  4.6237483  9.555574   8.858218
 14.290718   9.717925 ]"
attention,any,logit,baseline,original,"[77.72959    2.0175872  2.2447238  2.5659833  1.7492476  2.820088
  4.8271627  4.118929   4.6594443  5.6012793 11.054735  12.925122
 11.68611  ]"
attention,any,logit,baseline,original,"[88.37822    4.1561255  7.6744018  5.9966645 10.34435   16.472876
 10.977361 ]"
attention,any,logit,baseline,original,"[91.362305   6.244782   4.3057036  6.351165  10.492596  13.033913
 12.209538 ]"
attention,any,logit,baseline,original,[91.291885  4.545972 11.702722 10.970059 15.003218 10.486146]
attention,any,logit,baseline,original,[93.14891   4.853249  5.317628  9.014963 16.431389 15.23386 ]
attention,any,logit,baseline,original,[93.36126   4.512801 11.615997  9.957233 14.281233 10.271465]
attention,any,logit,baseline,original,[112.19014   19.946856  11.862997]
attention,any,logit,baseline,original,[96.92282  10.332547 11.215238 14.291241 11.238141]
attention,any,logit,baseline,original,"[92.802185   3.202145   4.3543744  3.9946997  5.677372   8.821881
 12.696848  12.450502 ]"
attention,any,logit,baseline,original,[89.96617   6.039417 10.245974 11.229421 14.997062 11.521953]
attention,any,logit,baseline,original,"[87.53459    5.4216433  4.094734   3.2013733  7.924723  10.468553
 15.035532  10.318847 ]"
attention,any,logit,baseline,original,"[74.54575    2.0681987  1.824553   1.838911   1.8036766  1.6463369
  1.9237202  3.5189528  2.126925   2.679895   3.8570056  2.5287914
  4.8118324  6.8107977  8.615345  13.997317   9.401986 ]"
attention,any,logit,baseline,original,[93.85982    7.974241   6.6154313 11.9471035 11.984453  11.61895  ]
attention,any,logit,baseline,original,[101.85444   11.80539   17.224077  13.116098]
attention,any,logit,baseline,original,[102.2478    12.583988  17.167383  12.000822]
attention,any,logit,baseline,original,"[84.40722    4.080853   4.204478   4.7436156  9.197226   9.534029
 16.419617  11.412963 ]"
attention,any,logit,baseline,original,"[83.00142    3.8793838  5.64989    6.083504   6.1753087  6.513171
 11.877947  10.364155  10.455221 ]"
attention,any,logit,baseline,original,"[86.7762     5.1096544  7.01146    4.501014   6.2782817 10.000374
 12.6065035 11.716513 ]"
attention,any,logit,baseline,original,"[87.49554    3.5274744  4.737833   4.0205965 10.245872   9.640436
 14.128686  10.203557 ]"
attention,any,logit,baseline,original,[95.92005  11.073432 10.877299 15.317989 10.811216]
attention,any,logit,baseline,original,"[91.150536   2.831165   2.2089963  8.183267  12.636516  15.685318
 11.304201 ]"
attention,any,logit,baseline,original,[95.52257   9.254435 11.423209 16.343138 11.456644]
attention,any,logit,baseline,original,"[87.69447    5.0254316  5.485026   7.243089   6.4346647  8.405049
 12.772205  10.940064 ]"
attention,any,logit,baseline,original,[96.6201     8.086466   7.6209407 17.287758  14.384737 ]
attention,any,logit,baseline,original,[103.96153   12.741408  15.649291  11.647755]
attention,any,logit,baseline,original,"[95.96734    7.54197    5.3055105  5.582265   5.253552  12.13823
 12.211134 ]"
attention,any,logit,baseline,original,[96.85278   8.382824  7.698944 18.096796 12.968649]
attention,any,logit,baseline,original,"[76.10741    2.6832218  2.8203073  1.9277575  1.6954243  3.3443327
  3.885192   3.8733861  6.436151   3.9914746  5.5730143 19.10126
 12.561075 ]"
attention,any,logit,baseline,original,[112.58276   19.314741  12.102488]
attention,any,logit,baseline,original,"[80.383156   2.042531   4.3213825  2.7269597  3.9430416  4.15187
  5.754432  13.952564  14.302671  12.421396 ]"
attention,any,logit,baseline,original,[95.38268    7.4388704  5.9182405  5.659427  17.303112  12.297671 ]
attention,any,logit,baseline,original,[97.634186   8.541684   9.0341625 16.67302   12.116958 ]
attention,any,logit,baseline,original,[100.76132   14.723243  16.654879  11.860554]
attention,any,logit,baseline,original,"[76.9561     1.509508   1.7021253  1.8094466  1.4818435  1.5981944
  2.4883492  2.8836842  1.7573038  2.1846855  3.616164   3.2195926
 10.613523   9.027635  13.691834   9.46001  ]"
attention,any,logit,baseline,original,"[70.78501    1.4353697  1.3761144  1.5925865  1.9251133  2.3055978
  1.9980865  1.9652691  2.4169996  2.128666   3.2340226  3.526742
  3.6145449  5.024494   6.125611   4.526984   7.5724177 11.088681
 11.357689 ]"
attention,any,logit,baseline,original,"[76.36725    1.6789293  1.4921623  1.1326576  2.0397968  1.5647924
  2.1236773  4.186453   3.798759   6.587245   5.2644124  6.294348
  6.7995696 13.798354  10.871597 ]"
attention,any,logit,baseline,original,"[78.96893    2.0452094  4.1200843  3.536144   6.655302   5.6249113
  8.789736   9.738789  14.809358   9.711539 ]"
attention,any,logit,baseline,original,"[74.88652    1.9968348  2.1240048  2.227719   2.2049973  2.2409873
  3.397134   1.8691467  2.2540975  5.249346   5.533677   7.165971
  9.428341  14.135525   9.285692 ]"
attention,any,logit,baseline,original,[114.362656  18.771725  10.865614]
attention,any,logit,baseline,original,"[91.27632    3.423596   2.852495   4.752573   7.6306505  9.438213
 14.590063  10.036086 ]"
attention,any,logit,baseline,original,"[86.07804    3.1182873  4.616288   4.9205503  4.8532953  8.105603
 17.887339  14.420596 ]"
attention,any,logit,baseline,original,"[80.68231    5.032064   2.7903512  3.393692   3.2798827  3.4943116
  4.8672776  7.592953   9.372697  14.412441   9.08201  ]"
attention,any,logit,baseline,original,"[79.42585    4.394465   4.9341493  4.766099   2.6001651  3.0754437
  3.9721186  8.355187   8.791818  14.306417   9.378279 ]"
attention,any,logit,baseline,original,[92.48198    5.8264694 10.542493  10.015784  14.688982  10.444297 ]
attention,any,logit,baseline,original,"[79.95541    2.5885463  1.8987968  1.8233987  2.149056   2.529285
  4.3504434  4.6907415  4.285788   5.0617895 12.00505   11.513434
 11.148268 ]"
attention,any,logit,baseline,original,"[87.800514   6.058028   5.3289046  5.689918   7.842269  18.617367
 12.663002 ]"
attention,any,logit,baseline,original,"[87.12792    5.3069983  6.8106403  4.141133   6.733815   9.875669
 13.218417  10.785398 ]"
attention,any,logit,baseline,original,"[86.4489     4.029267   6.252358   4.163562   7.0902367  7.8030634
 16.259901  11.952721 ]"
attention,any,logit,baseline,original,"[93.384445   6.6972632  4.965028   5.8898864  6.903647  13.828843
 12.330886 ]"
attention,any,logit,baseline,original,"[90.004654  2.743635  8.415822  6.609515  5.912388  5.342417 12.079565
 12.892009]"
attention,any,logit,baseline,original,"[90.09709    4.8928924  4.242455   8.187835   8.284298  17.064676
 11.230748 ]"
attention,any,logit,baseline,original,[91.4535    9.2494    9.575916 19.493187 14.227994]
attention,any,logit,baseline,original,[96.659355 11.41461  10.382066 14.914875 10.629094]
attention,any,logit,baseline,original,[93.98228   9.901276  7.972079 18.566898 13.57746 ]
attention,any,logit,baseline,original,[99.76037    6.0570965  6.5640717 17.057434  14.561037 ]
