explanations,datasets,attributed_fns,methods,reversed,Value
attention,any,logit,baseline,original,[105.505554   12.1428795  13.151499   13.200073 ]
attention,any,logit,baseline,original,[99.40463   13.7317295 16.825829  14.037817 ]
attention,any,logit,baseline,original,[106.565735  12.634327  12.393218  12.40672 ]
attention,any,logit,baseline,original,"[71.24552    3.387404   2.272944   1.9083817  2.6921947  1.9390116
  1.6096708  1.8229554  4.1236005  4.6461697  6.177513   6.253631
  5.8404193 10.799636   9.388988   9.8919525]"
attention,any,logit,baseline,original,[105.57695   12.846482  12.946515  12.630053]
attention,any,logit,baseline,original,[90.5494     7.5779076  8.917304  21.97749   14.977901 ]
attention,any,logit,baseline,original,[114.38285   18.730715  10.886441]
attention,any,logit,baseline,original,[114.38285   18.730715  10.886441]
attention,any,logit,baseline,original,[98.45721   7.154227  7.436737 18.118486 12.833349]
attention,any,logit,baseline,original,[105.75164   12.04527   12.219644  13.983441]
attention,any,logit,baseline,original,"[74.88099    2.7791693  2.965163   2.814125   4.1576324  8.674092
  5.930382   9.140812   8.606103  14.075736   9.975792 ]"
attention,any,logit,baseline,original,[105.04525   13.192383  13.075321  12.687042]
attention,any,logit,baseline,original,"[84.14476    3.9347596  4.4014416  7.522058   9.239858  10.257347
 14.267913  10.231859 ]"
attention,any,logit,baseline,original,[97.05542  13.601461 14.995886 18.347225]
attention,any,logit,baseline,original,"[80.39654    1.4575399  1.3358064  1.9567764  2.7637312  2.4349513
  2.252135   5.1620245  4.618607   4.6671505  6.078549   7.8495364
 10.406473  12.620184 ]"
attention,any,logit,baseline,original,[114.38285   18.730715  10.886441]
attention,any,logit,baseline,original,"[86.7192     8.2895155  7.052684   6.828001  12.395682  11.068923
 11.645999 ]"
attention,any,logit,baseline,original,[106.565735  12.634327  12.393218  12.40672 ]
attention,any,logit,baseline,original,[106.60321   12.309882  11.618429  13.468478]
attention,any,logit,baseline,original,"[60.372204   1.1665994  1.1987253  1.2880125  1.5906299  1.743915
  1.8061382  3.0820248  1.5363162  1.2790914  3.7627192  2.685779
  2.6014671  1.8977555  1.8145008  4.3802857  4.7827063  4.9719687
  4.2987537  5.4881024  8.673613  12.039551  11.539138 ]"
attention,any,logit,baseline,original,"[75.11506    1.6156318  1.4436281  1.4632938  1.8575417  1.4275382
  2.4079514  1.4490175  1.2952843  1.9899547  3.4858809  4.748142
  6.8380632  6.3834367  5.470229   5.3711767 11.247143  10.39103  ]"
attention,any,logit,baseline,original,"[79.50015    1.9823068  2.4630644  3.0210145  2.6491785  2.4397764
  1.7461244  3.1463661  4.5126953  5.069038   8.750664   8.866365
  9.642289  10.210958 ]"
attention,any,logit,baseline,original,[93.02487    5.3230076  4.561762  12.754539  17.89954   10.436292 ]
attention,any,logit,baseline,original,[92.67332   3.973566  4.96959  10.312891  8.408007 11.824994 11.837632]
attention,any,logit,baseline,original,"[82.97856    5.862193   6.1033263  5.3633523  7.2526426  8.957789
 13.444982  14.037152 ]"
attention,any,logit,baseline,original,"[79.622635   2.9997573  4.397111   3.2746842  3.112007   5.880814
  6.6465483  7.0203238  8.214532  11.55261   11.278977 ]"
attention,any,logit,baseline,original,"[85.70685    3.3107572  2.7422254  5.092342   7.6236277  8.679534
  8.900901  10.856103  11.087664 ]"
attention,any,logit,baseline,original,[106.574356  12.58877   12.389307  12.447574]
attention,any,logit,baseline,original,[90.97964   9.527298 11.104641  7.450233 13.199576 11.738613]
attention,any,logit,baseline,original,[105.360054  11.913191  12.37821   14.348542]
attention,any,logit,baseline,original,"[82.834236   3.451957   2.9305727  3.2293797  3.9992814  6.6381216
  9.692656   8.902792  10.757458  11.56355  ]"
attention,any,logit,baseline,original,[106.18214   12.613932  13.242951  11.960985]
attention,any,logit,baseline,original,"[81.96373    2.924615   3.4612517  3.7007453  5.088982   5.630969
  9.647531   9.691934  10.860153  11.030094 ]"
attention,any,logit,baseline,original,"[74.105576   1.6769997  1.5418352  1.9807947  1.7832749  2.041078
  2.0776677  2.415355   2.648701   2.2766654  3.4126425  3.2039695
  3.752946   9.086849   8.352113  14.173538   9.469991 ]"
attention,any,logit,baseline,original,[98.997505 10.866008  9.324    12.018969 12.793511]
attention,any,logit,baseline,original,[105.838524  12.670943  12.046465  13.444062]
attention,any,logit,baseline,original,"[90.87912    4.79639    7.8556967  9.010199   8.399014  10.926253
 12.133318 ]"
attention,any,logit,baseline,original,[88.71374   5.870406  5.042205  8.014076 10.3269   13.282318 12.750356]
attention,any,logit,baseline,original,[104.30036   12.943429  13.539259  13.216951]
attention,any,logit,baseline,original,"[86.35087    5.6575046  4.395964   4.003503   5.129692  11.246021
 14.045893  13.170546 ]"
attention,any,logit,baseline,original,"[86.44098    4.2105904  5.698229   6.9869876  8.308804   8.258595
 12.31484   11.78097  ]"
attention,any,logit,baseline,original,"[88.74035    4.230627   8.529731  11.433218   8.35598   10.428605
 12.2814865]"
attention,any,logit,baseline,original,[94.82089   8.775093  6.763487 12.058973 10.416147 11.165404]
attention,any,logit,baseline,original,[105.57271   12.417002  12.749587  13.260708]
attention,any,logit,baseline,original,[102.40753   14.01555   11.754419  15.8225  ]
attention,any,logit,baseline,original,[101.09068   10.56612   16.87051   15.472679]
attention,any,logit,baseline,original,[101.09068   10.56612   16.87051   15.472679]
attention,any,logit,baseline,original,[103.50163   13.047     15.240152  12.21121 ]
attention,any,logit,baseline,original,[91.2071     7.4801035  9.670456  20.911245  14.731085 ]
attention,any,logit,baseline,original,[91.22464   5.415063  4.333807  6.04271   9.188069 13.664144 14.131565]
attention,any,logit,baseline,original,[106.565735  12.634327  12.393218  12.40672 ]
attention,any,logit,baseline,original,[102.75015   11.251085  15.933601  14.065165]
attention,any,logit,baseline,original,[99.33006   9.839888 10.190967 12.718424 11.920665]
attention,any,logit,baseline,original,[105.33674   10.742095  11.734173  16.186998]
attention,any,logit,baseline,original,"[79.401886   1.8740972  2.392963   1.9612423  3.0554478  4.835036
  4.5382338  5.8857365  7.7667046  8.941918  10.944378  12.402349 ]"
attention,any,logit,baseline,original,[103.50163   13.047     15.240152  12.21121 ]
attention,any,logit,baseline,original,[92.31426    6.3788652 10.952145   9.469575  12.347645  12.53751  ]
attention,any,logit,baseline,original,[114.38285   18.730715  10.886441]
